"",".id","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1","2","HS",2017,201708,"August 2017",4,0,2,"Exports",51,"Armenia",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,9839,NA,3422,NA,NA,0
"2","2","HS",2017,201708,"August 2017",4,0,2,"Exports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,9839,NA,3422,NA,NA,0
"3","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,554,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,10000,NA,27871,NA,NA,0
"4","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,702,"Singapore",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,161331,NA,44341,NA,NA,0
"5","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,704,"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1607610,NA,629425,NA,NA,0
"6","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,764,"Thailand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1496516,NA,300920,NA,NA,0
"7","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,156,"China",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2485948,NA,630989,NA,NA,0
"8","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,344,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2186029,NA,563438,NA,NA,0
"9","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,360,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,459580,NA,138599,NA,NA,0
"10","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,410,"Rep. of Korea",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,235963,NA,5899,NA,NA,0
"11","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,458,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2581223,NA,464550,NA,NA,0
"12","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,699,"India",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,52538,NA,40236,NA,NA,0
"13","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,490,"Other Asia, nes",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,133908,NA,48153,NA,NA,0
"14","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,842,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,4529,NA,12791,NA,NA,0
"15","2","HS",2017,201708,"August 2017",4,0,2,"Exports",36,"Australia",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,11415174,NA,2907212,NA,NA,0
"16","2","HS",2017,201708,"August 2017",4,0,2,"Exports",32,"Argentina",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,70282,NA,12186,NA,NA,0
"17","2","HS",2017,201708,"August 2017",4,0,2,"Exports",32,"Argentina",NA,156,"China",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,70282,NA,12186,NA,NA,0
"18","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,37863990,NA,12544318,NA,NA,0
"19","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,404,"Kenya",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,17500,NA,5165,NA,NA,0
"20","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,410,"Rep. of Korea",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,143170,NA,34028,NA,NA,0
"21","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,554,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,52000,NA,14363,NA,NA,0
"22","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,704,"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2169020,NA,465080,NA,NA,0
"23","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,20000,NA,4604,NA,NA,0
"24","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,490,"Other Asia, nes",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,61807,NA,37063,NA,NA,0
"25","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,528,"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,7051832,NA,2682362,NA,NA,0
"26","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,710,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,63200,NA,19761,NA,NA,0
"27","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,699,"India",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1000627,NA,396674,NA,NA,0
"28","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,100,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,76879,NA,19480,NA,NA,0
"29","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,108,"Burundi",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,222,NA,31,NA,NA,0
"30","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,842,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,740870,NA,242025,NA,NA,0
"31","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,203,"Czech Rep.",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,59689,NA,23475,NA,NA,0
"32","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,764,"Thailand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,515660,NA,59317,NA,NA,0
"33","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,702,"Singapore",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,20400,NA,2649,NA,NA,0
"34","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,784,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,148520,NA,21818,NA,NA,0
"35","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,724,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,69856,NA,18005,NA,NA,0
"36","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,792,"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2399388,NA,546224,NA,NA,0
"37","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,442,"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,431189,NA,260331,NA,NA,0
"38","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,826,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,134943,NA,66035,NA,NA,0
"39","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,616,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,350131,NA,198362,NA,NA,0
"40","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,620,"Portugal",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,25552,NA,27301,NA,NA,0
"41","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,251,"France",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1325637,NA,556986,NA,NA,0
"42","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,586,"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,529865,NA,204212,NA,NA,0
"43","4","HS",2017,201708,"August 2017",4,0,2,"Exports",56,"Belgium",NA,705,"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,256249,NA,84370,NA,NA,0
