"",".id","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1","2","HS",2017,201712,"December 2017",4,0,2,"Exports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,9515,NA,3376,NA,NA,0
"2","2","HS",2017,201712,"December 2017",4,0,2,"Exports",51,"Armenia",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,9515,NA,3376,NA,NA,0
"3","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,104,"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,120000,NA,41458,NA,NA,0
"4","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,156,"China",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,44140,NA,13265,NA,NA,0
"5","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,620,"Portugal",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,24075,NA,11907,NA,NA,0
"6","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,276,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,34000,NA,5913,NA,NA,0
"7","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,344,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,688238,NA,214574,NA,NA,0
"8","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,360,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1656920,NA,324073,NA,NA,0
"9","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,392,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,18000,NA,3823,NA,NA,0
"10","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,410,"Rep. of Korea",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,54000,NA,21425,NA,NA,0
"11","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,458,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,4202532,NA,642206,NA,NA,0
"12","2","HS",2017,201712,"December 2017",4,0,2,"Exports",36,"Australia",NA,554,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,19429,NA,14854,NA,NA,0
