"",".id","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1","2","HS",2017,201709,"September 2017",4,0,2,"Exports",32,"Argentina",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,71100,NA,7821,NA,NA,0
"2","2","HS",2017,201709,"September 2017",4,0,2,"Exports",32,"Argentina",NA,600,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,71100,NA,7821,NA,NA,0
"3","2","HS",2017,201709,"September 2017",4,0,2,"Exports",51,"Armenia",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,14078,NA,4931,NA,NA,0
"4","2","HS",2017,201709,"September 2017",4,0,2,"Exports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,14078,NA,4931,NA,NA,0
"5","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,699,"India",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,76266,NA,44999,NA,NA,0
"6","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,490,"Other Asia, nes",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,255920,NA,67749,NA,NA,0
"7","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,10142800,NA,2780808,NA,NA,0
"8","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,156,"China",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1817100,NA,501727,NA,NA,0
"9","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,344,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1784162,NA,489078,NA,NA,0
"10","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,360,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,556630,NA,231618,NA,NA,0
"11","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,392,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,9467,NA,26737,NA,NA,0
"12","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,410,"Rep. of Korea",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,148900,NA,57452,NA,NA,0
"13","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,458,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2136877,NA,418006,NA,NA,0
"14","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,620,"Portugal",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,22000,NA,13576,NA,NA,0
"15","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,704,"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1348580,NA,454175,NA,NA,0
"16","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,724,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,18300,NA,6577,NA,NA,0
"17","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,764,"Thailand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1962200,NA,396825,NA,NA,0
"18","2","HS",2017,201709,"September 2017",4,0,2,"Exports",36,"Australia",NA,784,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,6398,NA,72288,NA,NA,0
"19","4","HS",2017,201709,"September 2017",4,0,2,"Exports",56,"Belgium",NA,360,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,874990,NA,265407,NA,NA,0
"20","4","HS",2017,201709,"September 2017",4,0,2,"Exports",56,"Belgium",NA,484,"Mexico",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,119620,NA,59985,NA,NA,0
"21","4","HS",2017,201709,"September 2017",4,0,2,"Exports",56,"Belgium",NA,40,"Austria",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,62164,NA,21367,NA,NA,0
"22","4","HS",2017,201709,"September 2017",4,0,2,"Exports",56,"Belgium",NA,554,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,72100,NA,21041,NA,NA,0
"23","4","HS",2017,201709,"September 2017",4,0,2,"Exports",56,"Belgium",NA,704,"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2585850,NA,550817,NA,NA,0
